material,lat (AA),rS_A (AA),rP_A (AA),rS_B (AA),rP_B (AA),Z_A (e),Z_B (e),HOMO_A (eV),LUMO_A (eV),EA_A (eV),IP_A (eV),EN_A (eV),HOMO_B (eV),LUMO_B (eV),EA_B (eV),IP_B (eV),EN_B (eV)
KMnO3,3.69946481,2.28600,3.16750,0.41350,2.18240,19,25,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-4.333466263373,-0.671345464134,-1.423902065558,6.884430469844,2.730264202143
KFeO3,3.70939138,2.28600,3.16750,1.39120,2.20810,19,26,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-3.836619504771,-3.836619636475,-1.415506591628,7.089031766055,2.836762587214
KCoO3,3.74373500,2.28600,3.16750,1.38110,1.65750,19,27,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-3.347469515837,-3.347469630750,-1.133799031088,7.525127748251,3.195664358581
KNiO3,3.78833286,2.28600,3.16750,1.37820,1.61770,19,28,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-2.919817594254,-2.919817694486,-0.680064535054,8.128919800973,3.724427632959
KCuO3,3.83262143,2.28600,3.16750,1.23610,2.20480,19,29,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-4.362985932102,-4.362986081876,-1.554935144418,7.534909454159,2.989987154871
KZnO3,3.91706963,2.28600,3.16750,1.11690,1.78990,19,30,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-6.384766005031,-0.880351142307,1.016686332121,9.995763731659,5.506225031890
KGaO3,3.92629868,2.28600,3.16750,1.00870,1.37830,19,31,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-2.447267344605,-2.447267428616,-0.221448418066,5.403241923784,2.590896752859
KGeO3,3.81149531,2.28600,3.16750,0.92390,1.18940,19,32,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-3.864142063585,-3.864142196235,-0.978668998444,7.285215454342,3.153273227949
KZrO3,4.16584379,2.28600,3.16750,1.67180,2.26450,19,40,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-3.230129340890,-3.230129451775,-0.047328544585,7.150603804508,3.551637629961
KNbO3,3.98553617,2.28600,3.16750,1.58200,2.11090,19,41,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-4.395561840699,-4.395561991591,-0.969575749518,7.291456922287,3.160940586385
KMoO3,3.90601061,2.28600,3.16750,1.55920,2.24600,19,42,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-4.405289070280,-4.405289221506,-1.713307224028,6.693232569522,2.489962672747
KTcO3,3.86080116,2.28600,3.16750,1.58880,2.13150,19,43,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-3.015504540133,-3.015504643650,-1.275831727848,7.207933304014,2.966050788083
KRuO3,3.86690463,2.28600,3.16750,1.55180,2.19700,19,44,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-3.663439802229,-2.821777985343,-0.586474863883,8.167782092633,3.790653614375
KRhO3,3.88424665,2.28600,3.16750,1.51700,2.24450,19,45,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-4.324078823778,-2.720936056224,-0.649048902331,9.152288883026,4.251619990348
KPdO3,3.96747389,2.28600,3.16750,1.48560,2.29200,19,46,-2.316079740255,-0.739096593542,-0.689630302974,4.167733649580,1.739051673303,-5.018246293882,-2.610572297189,-0.200021161260,10.166984187162,4.983481512951
